category_id,category,published_at,title,url,source,summary,discovery_source
router-global,海外ルーターニュース,2026-05-02T16:25:31Z,Review: Asus RTBE58U (Go) router – Wi-Fi 7 Performance on a Wi-Fi 6 Budget - SonnyDickson,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNOG9PWGlNaTVtZzQwaDJMUThScEJQX1N2bEM0ZXJuNnRvMlc2TGphRWZZSHowVkZSdWY2bnJ1cEQ3MmV5b0cwcWdsNUplX2tkQ1FzV3hCSERtUlEtVEVPVnUwOElNZlZlYklfb1I0bFQ3MFJxVGdOdmxRMjlYUUViMGk5U3JzZWN6UEdnOXIyU1N2SjY0SGxaRTNCamt2blZfMF8wSkxPZXA4Zw?oc=5,Google News Global: home networking,Review: Asus RTBE58U (Go) router – Wi-Fi 7 Performance on a Wi-Fi 6 Budget SonnyDickson,current_api_seed
router-global,海外ルーターニュース,2026-05-01T17:30:00Z,Why Your Home Needs a Wi-Fi 7 Mesh Router System - Yahoo Tech,https://news.google.com/rss/articles/CBMifEFVX3lxTE9PdE43ZEFITnhCWFRmYWpRb3JycGx0VkF1U2pJWlh5M0N0WWlldnktTFJrSU5FR2dHQVYyV092bnlQdm91VFpaYnp5cktScVROUE1RSUl1SHlwUHZYVHV3Y1JWNS05dlNPR01HNFBodDVfRVhJVXp0WGo4V2I?oc=5,Google News Global: home networking,Why Your Home Needs a Wi-Fi 7 Mesh Router System Yahoo Tech,current_api_seed
router-domestic,国内ルーター市場ニュース,2026-05-01T15:23:32Z,バッファローのWi-Fi 6E対応無線LANルーターや10GbE対応スイッチングハブがお得！AmazonスマイルSALE - ｄメニューニュース,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPR1owR2toUFRpaDRzVWpqQ3dDUkhVbExZT0N4LTBIdFA1ZkNMc19oSURGMDhzMy1UWEZHeFc5dTNPenpQVFBpREdaeGJyVENmSEdKZlp0S1UzY2JNVnpwczhvb0tHOUR5cnVDb2dTT2d4MEFHY3ZXd1lBbjZrU0tNcEV3T3NPcG0y0gGOAUFVX3lxTE16aVVaQmtaWW0ydGlnOERDdGF6SkFUc3Jvd2xaRGRZS3VyaWZHeXBFTDdWejNEdkE1ZHZsVHJYM0JwUzNRSVlNRHktdXI5UURoNGxJWEdJWkhoQ0JaNkRFWnlJeWY4eFFkTjhHNG8wRjFERVdtYWM1YXNjMXVaTm9fYVVqRDFyMUtLTk1LRXc?oc=5,Google News JP: router products,バッファローのWi-Fi 6E対応無線LANルーターや10GbE対応スイッチングハブがお得！AmazonスマイルSALE ｄメニューニュース,current_api_seed
network-performance,ネットワーク性能・障害ニュース,2026-05-01T09:46:14Z,One NZ fixes issue causing widespread internet outage - 1News,https://news.google.com/rss/articles/CBMikwFBVV95cUxOYkxzQ3RRLVJQd0V4TV91OU5oeXliLTRrM3N3RU5vWExoQkVvUEF6VHozTGFyallDRG9JSU01eU1xUUZsOFZpSzJlWld5MmJCSFNmWnVSVlZrbWRPYUtZNEFhVlR1MHNhQmlvMWdXbGJvSVliQ1lYVkxvYTgxNnpFZ2N5QmxOdjd4NDE0UEpuOGZXMFk?oc=5,Google News Global: network performance,One NZ fixes issue causing widespread internet outage 1News,current_api_seed
network-performance,ネットワーク性能・障害ニュース,2026-05-01T02:23:55Z,"One NZ issue causing widespread internet outage across entire South, parts of North Island - MSN",https://news.google.com/rss/articles/CBMi2AFBVV95cUxPcXM1TDVXenJjd2hGRmdiQ0V6UG1TZllzSm5zWXNuZ1VLU1gyXy1HeDluQkhLUllZM1Uzbl9XNzdpNmxTX2hQR1F6RWRwRzVuTUxZeVM1V21YZGI4RjJxUEZIOWVuQ0JaLTM1bFFQLTgxNGl1Ql9pYzJDRVJXYjFQRk84Z1ItSEVZTE5PYzQwWUd0cVVSWV9wWnUtX1ZqM1p3LWhadWQ3X3phNk1GVkQ2ZU5kTzZpd2tfTlFRT3RJVzR4RmRfYWVnaGtPQ19NY19oWmY0R2FfdG8?oc=5,Google News Global: network performance,"One NZ issue causing widespread internet outage across entire South, parts of North Island MSN",current_api_seed
router-domestic,国内ルーター市場ニュース,2026-05-01T02:00:00Z,TP-LinkのWi-Fi 7ルーターが安い！ Amazon GWスマイルSale 最大2882＋688Mbpsの廉価モデル「Archer BE220」は8820円 - INTERNET Watch,https://news.google.com/rss/articles/CBMicEFVX3lxTE92UWYyR3hRU0JGa0luTUhHWU1oNWYzSm1KZ3lQSUY3Q2diR1YzWXhUNE9jR3RDOXhnaEQzM0o5VU1EM2x4b0ZjM05LdUxMQUNja09PeGNha1dLYU9JWGNkRWczdGVGY19XODh3YXBhVjM?oc=5,Google News JP: router vendors,TP-LinkのWi-Fi 7ルーターが安い！ Amazon GWスマイルSale 最大2882＋688Mbpsの廉価モデル「Archer BE220」は8820円 INTERNET Watch,current_api_seed
network-performance,ネットワーク性能・障害ニュース,2026-04-30T22:57:16Z,"One NZ issue causing widespread internet outage across entire South, parts of North Island - RNZ",https://news.google.com/rss/articles/CBMizAFBVV95cUxNVlNBRnlHNnpoNFdOaWphc3dfOXRLSzZzSFU4em1fQXRIWERmUVIyOXRVVWl3YWFCMTNnakNsZTdsdkk3RE5ZVExHbklvQVdYSlBJUXdITURnRzU2dnpFeGh6bnJ4cnRvTnVWYU1sal9ZTWhrNk9VSjVIUHVHeWtqbjVWUTNDNThNVk1aTl9TYjE5VFVTUnRhT05hRURtcWtNeHhwWGx3V281TEdFalJxcEUwZ3JnQzVyTm1relJSalU5NUdfOFV0bEI2OVg?oc=5,Google News Global: network performance,"One NZ issue causing widespread internet outage across entire South, parts of North Island RNZ",current_api_seed
network-performance,ネットワーク性能・障害ニュース,2026-04-30T22:57:16Z,"One NZ issue fixed after causing internet outages across the South Island, parts of North Island - RNZ",https://news.google.com/rss/articles/CBMi1AFBVV95cUxQWGY1OUM1X0htRGs3djRBZnVsNVlKXzRWOTAzblRITmltQUFneWxXcGY5czl1aGVUbFJma0lWOUhTeEpjR0RTZnh2MFp6cWU1Q2dXekE5aU92Y1R0SENyamp5Nmo3blB6c1BXTEJOZjNyR1JHMFlCaC1zWlFiOEZpRU85Nld0aERFZ1hOWE9jV3V1bkhLSGZVZW5tUWJIWkhBSzdPbGhBZGtfbkJFVDV3MWNPRXhmMjUxeGU1dFJUb09RaTZYMmxwQUFBQ3h5TFR2cVVKZA?oc=5,Google News Global: network performance,"One NZ issue fixed after causing internet outages across the South Island, parts of North Island RNZ",current_api_seed
network-performance,ネットワーク性能・障害ニュース,2026-04-30T22:38:02Z,"One NZ internet outage affects entire South Island, parts of north - The Press",https://news.google.com/rss/articles/CBMiqgFBVV95cUxOSGpyWHdGNWVtQmwycTU3MmNsVzdkTUpDNFZ4Z3pqZmRxeW1ucXFOdEw3YUIyanc4V3R6c2ZKYkp2RTh2dDE2c3EybU1mM0kyLUNKR29pcWlqRDZyWURHa3BQYmdLTHM3SVR6QWI3dGJ5anBVZ0Q5Slhpbmp2MlEtWWhXRjd5aFBvWHh2Zzk5REpsWDZVV1BYemtHMld5QVJVMGE4Y3RyOExEZw?oc=5,Google News Global: network performance,"One NZ internet outage affects entire South Island, parts of north The Press",current_api_seed
network-performance,ネットワーク性能・障害ニュース,2026-04-30T22:04:41Z,遅延の常識は覆る？宇宙で進む“光ネットワーク”の正体 - DXマガジン,https://news.google.com/rss/articles/CBMiTkFVX3lxTE11Wkx3ZEROeXZQZkMyVEVUOTZDTnUxRVhoMXVWd3R3NTNMcEhyVFV0clpnNHJkR2tEM2FWTWszWXhsY0ZwNmtINFdjUS1LZw?oc=5,Google News JP: network outage,遅延の常識は覆る？宇宙で進む“光ネットワーク”の正体 DXマガジン,current_api_seed
